Episode	Step	Move	Reward	Explorer_TRPO_PolicyLoss	Explorer_TRPO_PolicyEntropy	Explorer_TRPO_KL	Explorer_TRPO_Beta	Explorer_TRPO_ValFuncLoss	Explorer_TRPO_ExplainedVarNew	Explorer_TRPO_ExplainedVarOld	
1	12.069444444444445	1.4961393467896533	-0.05652467806736251		-0.038125787	2.7510052	0.01329218	1.5	0.0044385594709791315	0.17718535339508934	-77.72969857612121
2	14.784722222222221	1.7151972086580058	-0.16792532528714568		-0.07786394	2.748993	0.012359594	2.25	0.0031383748984657677	0.2839885956433986	-0.7211433860597549
3	14.125	1.8688425655412975	-0.23637769189707278		-0.044373944	2.752572	0.014817096	3.375	0.0037802819968736174	0.48861679807558267	0.2180757002386562
4	14.319444444444445	1.5010425461664418	-0.02451440102650284		-0.051956367	2.7510142	0.009742121	5.0625	0.0016926600796491691	0.289609316553309	-0.37084682278633285
5	12.840277777777779	1.4802150911229504	-0.08699773699810939		-0.04706273	2.7492316	0.0062693716	7.59375	0.0018796688242572062	0.36454149099108013	0.04947860947711835
6	16.40972222222222	1.4285080752512964	-0.01969987289802032		-0.027323507	2.756382	0.0024437413	7.59375	0.0037848005012101472	0.4954635627339612	0.31429529793136124
7	15.20138888888889	1.2014603732570697	0.1224993450659141		-0.029195819	2.7503407	0.0026379598	7.59375	0.004070300551998292	0.47047242574105175	0.27774777515740534
8	17.569444444444443	1.200074246052253	0.10404209925772766		-0.02478639	2.7454665	0.0019621963	7.59375	0.003603050146411374	0.5027421621117448	0.32750669991867287
9	14.20138888888889	1.2371173124419537	0.08124685843471863		-0.04054626	2.742104	0.0039842254	7.59375	0.0041009055155538715	0.4833648552534119	0.31940270798986903
10	17.430555555555557	1.0909523102199368	0.22433080388152093		-0.020976895	2.7458029	0.0017504488	7.59375	0.003572075264870666	0.551897835738484	0.3805426724241848
11	16.52777777777778	1.0744943569189764	0.19985699008917063		-0.060474068	2.7469025	0.005936397	7.59375	0.0032930385038936394	0.5828142304151755	0.4454552819664176
12	16.833333333333332	1.0028209301295776	0.22999347292696162		-0.015334354	2.7491477	0.0013859085	5.0625	0.004488989371007376	0.47836350463143607	0.40985552008722703
13	19.131944444444443	1.0251106527239793	0.21766145894888025		-0.025484066	2.74609	0.0027772174	5.0625	0.0034333210692229503	0.634599309975014	0.4767112097339503
14	16.895833333333332	1.2280066991961205	0.15882055745100448		-0.040669523	2.723081	0.0051776203	5.0625	0.0042353259622924045	0.6282167103129446	0.33205869920480824
15	22.26388888888889	0.989657746832555	0.27605543334960614		-0.056217004	2.731848	0.005550787	5.0625	0.001654725679518258	0.8069602828692077	0.5573492650778875
16	20.36111111111111	0.9022625417743421	0.28840201895400996		-0.022192717	2.7254705	0.0020174868	5.0625	0.002903495779401981	0.7066460519629078	0.5283085161695116
17	19.48611111111111	0.8204693752446307	0.3223867340892549		-0.0150174545	2.7207365	0.0015867241	5.0625	0.002786894271030469	0.7513392721495974	0.6423362298837807
18	24.118055555555557	0.8059265818359397	0.3531610429401958		-0.019067418	2.7219996	0.001832587	5.0625	0.003243520024961702	0.7240272990491301	0.6591700816323244
19	23.52777777777778	1.1038994042572785	0.2025322941665424		-0.038982973	2.7082124	0.003263219	5.0625	0.0023335235459417125	0.8263752183460278	0.608727628611236
20	19.79861111111111	0.9553353359430451	0.25395469683420013		-0.058381215	2.7047107	0.0037165838	5.0625	0.0022358085266783755	0.7462288898623031	0.47488097487340775
21	22.145833333333332	0.7703733977249754	0.36889619263268925		-0.022879794	2.695072	0.0024431024	5.0625	0.002315543494076165	0.776100169989691	0.6844267533502824
22	21.708333333333332	0.9250702658587182	0.313126839248471		-0.053135272	2.679102	0.007327154	7.59375	0.0017748976581817115	0.8152324883441703	0.613411650256886
