Episode	Step	Move	Reward	Explorer_TRPO_PolicyLoss	Explorer_TRPO_PolicyEntropy	Explorer_TRPO_KL	Explorer_TRPO_Beta	Explorer_TRPO_ValFuncLoss	Explorer_TRPO_ExplainedVarNew	Explorer_TRPO_ExplainedVarOld	
2001	186.52083333333334	0.358737342538461	0.5979457931414169		30.547571	-0.72783804	0.7787637	1.5	0.011151306905866134	0.6652061601730859	-0.19488235049376024
2002	213.54166666666666	0.4630167071814312	0.6040693839647222		121.990944	-0.72865343	1.5529923	2.25	0.006064650968650487	0.8725945730067255	0.5355733537562098
2003	202.125	0.6354695102482558	0.5080289298568288		0.22379251	-0.7293124	0.052018397	3.375	0.015354014862816305	0.8458054791033582	0.7970692472756354
2004	181.77777777777777	0.7063627592181851	0.44801276321868844		0.2557	-0.72963095	0.05084108	5.0625	0.012785260800633365	0.6190133981631929	0.3438207699602176
2005	136.25694444444446	0.7836150399487084	0.4746485789809555		-0.008638975	-0.7304635	0.018226659	7.59375	0.026979788405497557	-2.912269369180028	-8.995216349597394
2006	177.89583333333334	0.8008038161531058	0.4672086577904694		0.4526536	-0.7307925	0.04967311	11.390625	0.00976272165186571	0.8419059718064402	0.7554541128906104
2007	183.99305555555554	0.7455300615147838	0.4626125279605926		2.8013587	-0.73116493	0.15380217	17.0859375	0.011154135655638907	0.8131394168463398	0.6769869084510796
2008	181.59027777777777	0.6953915052747864	0.5035061856846662		6.8992558	-0.7313714	0.24251345	25.62890625	0.010781274634924162	0.7965277544408271	0.6357414538745871
2009	197.78472222222223	0.5826748770598624	0.5227172090339771		5.505994	-0.73158884	0.16496855	35.0	0.018967520377955627	0.6859919386204791	0.5546370858228056
2010	210.6875	0.5319013103884674	0.5558243826069791		2.9486182	-0.7317176	0.07704695	35.0	0.005882781154951935	0.8887167581940003	0.7295017925741509
2011	177.43055555555554	0.5343787792430214	0.5048820991002674		1.0336367	-0.7318053	0.029518146	35.0	0.020760104900364715	0.5394977673034327	0.4022759010720589
2012	177.5	0.4696128271890486	0.6044107456069123		-0.006753154	-0.730288	0.00032234332	23.333333333333332	0.011091306470606663	-1.7177342383438767	-12.325744245648558
2013	192.4375	0.4788492035008132	0.565631118125942		-0.004983539	-0.7301879	0.0001744734	15.555555555555555	0.016557593761197267	0.5853916109435227	0.4752607974789239
2014	142.49305555555554	0.42393164597911887	0.5665353632064218		-0.028243188	-0.73193884	0.0013026902	10.37037037037037	0.009691553363719152	-3.629453982430382	-5.412273988587422
2015	154.25	0.5194372950540768	0.5521292413123925		-0.019966777	-0.7344613	0.0018381436	10.37037037037037	0.0026394348814768047	-0.10967758519044701	-1.9344091267707348
2016	197.10416666666666	0.45682968394088724	0.5816237136234551		-0.013139942	-0.7350507	0.0009137183	6.91358024691358	0.02049910522906831	0.584247201710314	0.47817758021670365
2017	215.28472222222223	0.42868177565512133	0.584742661149218		0.15731466	-0.7349968	0.020182643	10.37037037037037	0.0033875774286886875	0.8992739730699828	0.2412315627614693
2018	169.88194444444446	0.5555489658319304	0.5620103742503372		-0.009090871	-0.7356019	0.00060645316	6.91358024691358	0.015212026814040663	0.5411572168258711	0.3979185045277459
2019	188.61805555555554	0.5064205970130303	0.5677305301648958		-0.010474239	-0.732739	0.0008852034	4.609053497942386	0.02333868936807946	0.5567971815573002	0.5309061118532035
2020	211.60416666666666	0.5118549138072589	0.5604095688842627		-0.004380281	-0.73064566	0.0005178387	3.0727023319615907	0.011710038108146399	0.7338195593827026	0.40845389503035134
2021	214.05555555555554	0.5330552864933649	0.5535708117224859		-0.0039285985	-0.7310376	0.0007606273	2.048468221307727	0.001516145697956563	0.9515683953053939	0.9380583851314266
2022	203.78472222222223	0.5012612342145508	0.5629632519763678		-0.011644188	-0.7283702	0.0016248865	2.048468221307727	0.02811718975816489	0.5740605552258203	0.5214691385229685
2023	212.88888888888889	0.48716136704804636	0.5428145944690298		-0.005281126	-0.7280984	0.0017754349	2.048468221307727	0.00931147975587853	0.8267210064531322	0.7380607994139834
2024	196.40277777777777	0.5157570557636095	0.5428076943345601		-0.009389696	-0.7288251	0.0012071059	1.365645480871818	0.02654960930774622	0.5852756356803579	0.358744258490338
2025	190.00694444444446	0.5109914754543845	0.5565155044892234		-0.03193474	-0.7281251	0.010727842	2.048468221307727	0.014658308746444347	0.704644014022738	0.6893247565348912
